URL,Size,OutLinks,ContentType
https://www.nbcnews.com/better/video/money-savings-tips-for-summer-spending-977966147973,218853,41,text/html
https://www.nbcnews.com/better/business/4-easy-ways-recoup-some-your-holiday-spending-ncna832666,103999,36,text/html
https://www.nbcnews.com/better/business/7-ways-avoid-tax-return-fraud-season-ncna845156,110730,42,text/html
https://www.nbcnews.com/better/careers,453894,73,text/html
https://www.nbcnews.com/better/video/millennials-and-money-with-ann-shoket-the-big-life-958024771940,224322,41,text/html
https://www.nbcnews.com/news/amp/ncna845616,70899,65,text/html
https://www.nbcnews.com/news/nbcblk/wesley-snipes-simone-biles-here-your-winter-reading-guide-n839666,71009,44,text/html
https://www.nbcnews.com/news/nbcblk/authors-bring-untold-stories-black-america-forefront-n839206,74921,41,text/html
https://www.nbcnews.com/pop-culture/books,109458,128,text/html
https://www.nbcnews.com/pop-culture/tv/omarosa-trades-white-house-big-brother-house-n845796,113855,39,text/html
https://www.nbcnews.com/better/video/how-the-property-brothers-drew-and-jonathan-scott-work-together-1159683139560,230030,41,text/html
https://www.nbcnews.com/pop-culture/pop-culture-news/grammyssomale-academy-president-neil-portnow-says-women-need-step-n842166,112743,44,text/html
https://www.nbcnews.com/pop-culture/music/grammys-2018-full-list-winners-n841811,135237,30,text/html
https://www.nbcnews.com/storyline/harvey-weinstein-scandal/lapd-sends-three-harvey-weinstein-cases-da-n846061,74326,89,text/html
https://www.nbcnews.com/better/video/feng-shui-at-home-for-better-productivity-1060685891629,226775,41,text/html
https://www.nbcnews.com/business/travel/amp/traveling-valentine-s-day-how-about-free-flowers-or-pop-n847496,36958,25,text/html
https://www.nbcnews.com/business/travel/pets-fly-why-are-there-so-many-animals-skies-airports-n702266,68140,89,text/html
https://www.nbcnews.com/politics/politics-news/white-house-trump-has-absolute-confidence-john-kelly-n846866,84794,88,text/html
https://www.nbcnews.com/meet-the-press/video/pelosi-trump-agreed-with-democrats-on-essence-of-the-dream-act-1053775427519,416959,190,text/html
https://www.nbcnews.com/storyline/winter-olympics-2018/one-olympic-sport-unites-red-blue-america-n846836,78924,92,text/html
https://www.nbcnews.com/meet-the-press/video/-i-trust-him-pelosi-says-on-trump-daca-deal-1053773891720,415571,190,text/html
https://www.nbcnews.com/politics/first-read/first-read-s-morning-clips-making-sense-midterm-environment-n847511,66318,95,text/html
https://www.nbcnews.com/politics/immigration/jeff-flake-we-can-get-something-done-immigration-week-n846881,81984,86,text/html
https://www.nbcnews.com/politics/first-read/biggest-races-watch-2018-grudge-matches-ideological-battles-wild-cards-n846461,98123,92,text/html
https://www.nbcnews.com/politics/first-read/first-read-s-morning-clips-house-map-expands-democrats-n846241,65653,92,text/html
https://www.nbcnews.com/meet-the-press/video/devastation-in-puerto-rico-how-you-can-help-1053776451799,415662,190,text/html
https://www.nbcnews.com/meet-the-press/video/full-mark-cuban-interview-i-m-a-fan-of-civil-disobedience-1054612547553,415688,190,text/html
https://www.nbcnews.com/politics/first-read/first-read-s-morning-clips-holder-s-war-gerrymandering-n845881,64686,92,text/html
https://www.nbcnews.com/politics/first-read/distractions-have-derailed-team-trump-s-economic-message-n847086,84806,90,text/html
https://www.nbcnews.com/politics/first-read/despite-warnings-d-c-isn-t-ready-2018-campaign-mischief-n845886,81954,87,text/html
https://www.nbcnews.com/politics/first-read/republicans-want-make-2018-all-about-nancy-pelosi-are-democrats-n845436,82499,92,text/html
https://www.nbcnews.com/politics/first-read/rob-porter-scandal-has-lasted-more-week-here-s-why-n847936,85939,93,text/html
https://www.nbcnews.com/politics/first-read/tracing-trump-white-house-s-year-permanent-scandal-n846246,83893,92,text/html
https://www.nbcnews.com/meet-the-press/video/trump-s-poll-numbers-inch-upwards-but-only-with-base-1053755971841,415464,190,text/html
https://www.nbcnews.com/politics/first-read/first-read-s-morning-clips-dems-win-special-election-florida-n847931,66142,93,text/html
https://www.nbcnews.com/politics/first-read/first-read-s-morning-clips-key-primaries-watch-2018-n847081,65533,96,text/html
https://www.nbcnews.com/meet-the-press/video/full-pelosi-interview-i-trust-him-on-president-s-daca-pledge-1053759555601,416993,190,text/html
https://www.nbcnews.com/politics/first-read/first-read-s-morning-clips-romney-delays-rollout-n848251,65713,91,text/html
https://www.nbcnews.com/news/us-news/amp/nbc-affiliates-n19981,71363,229,text/html
https://www.nbcnews.com/politics/elections/mitt-romney-moves-closer-launching-utah-senate-bid-n841116,74540,84,text/html
https://www.nbcnews.com/politics/first-read/how-shutdown-daca-could-drive-2018-turnout-n839586,76911,93,text/html
https://www.nbcnews.com/nightly-news/video/dhs-cybersecurity-head-no-doubt-russians-penetrated-voter-registration-systems-1156224579945,374472,168,text/html
https://www.nbcnews.com/politics/elections/republicans-dust-anti-pelosi-playbook-midterms-will-it-work-n844241,79117,92,text/html
https://www.nbcnews.com/politics/elections/republican-retirement-new-jersey-boosts-democrats-hopes-house-n842186,76565,87,text/html
https://www.nbcnews.com/news/us-news/tillerson-warns-u-s-not-better-prepared-new-russian-election-n845396,75382,89,text/html
https://www.nbcnews.com/politics/elections/democrats-are-having-banner-recruiting-year-it-could-cost-them-n844401,86648,97,text/html
https://www.nbcnews.com/politics/elections/democrats-say-their-mountain-cash-looks-wave-n843741,73993,86,text/html
https://www.nbcnews.com/nightly-news/video/dhs-cybersecurity-head-no-doubt-russians-penetrated-voter-registration-systems-1156198467653,372270,168,text/html
https://www.nbcnews.com/politics/elections/top-trump-house-ally-rep-kevin-cramer-tells-friends-he-n847731,62326,76,text/html
https://www.nbcnews.com/storyline/2018-state-of-the-union-address/anti-trump-resistance-turns-year-old-grows-n838821,89254,103,text/html
https://www.nbcnews.com/politics/elections/eric-holder-leads-democrats-war-gerrymandering-n845576,85290,90,text/html
https://www.nbcnews.com/politics/elections/city-field-democratic-mayors-emerge-hot-prospects-2020-n839481,81268,94,text/html
https://www.nbcnews.com/politics/national-security/u-s-intel-agencies-expect-russia-escalate-election-meddling-efforts-n847551,77451,83,text/html
https://www.nbcnews.com/politics/elections/top-dnc-official-out-after-less-year-job-n842371,73185,86,text/html
https://www.nbcnews.com/politics/elections/gop-s-midterm-mission-selling-tax-cuts-begins-now-n848606,97399,91,text/html
https://www.nbcnews.com/politics/elections/russians-penetrated-u-s-voter-systems-says-top-u-s-n845721,87839,97,text/html
https://www.nbcnews.com/politics/politics-news/paul-manafort-rick-gates-told-surrender-special-prosecutor-probe-n815536,106970,99,text/html
https://www.nbcnews.com/news/amp/ncna847646,67143,60,text/html
https://www.nbcnews.com/mach/video/enceladus-and-europa-are-the-two-worlds-most-likely-to-support-alien-life-920803907959,346102,41,text/html
https://www.nbcnews.com/mach/science/new-discovery-could-change-way-we-look-alien-life-ncna827921,112194,37,text/html
https://www.nbcnews.com/mach/science/debate-heats-over-search-life-mars-ncna800376,116631,34,text/html
https://www.nbcnews.com/mach/science/what-happens-next-if-we-find-proof-space-aliens-ncna788511,112399,37,text/html
https://www.nbcnews.com/mach/science/tabby-s-star-mystery-still-hasn-t-been-solved-ncna797741,115068,37,text/html
https://www.nbcnews.com/mach/science/artificial-life-just-moved-step-closer-reality-ncna827341,114622,37,text/html
https://www.nbcnews.com/mach/science/mystery-weird-oumuamua-space-object-may-have-been-solved-ncna831131,65413,41,text/html
https://www.nbcnews.com/mach/science/mysterious-space-rock-actually-alien-spaceship-ncna829501,109716,35,text/html
https://www.nbcnews.com/mach/amp/ncna849046,58122,44,text/html
https://www.nbcnews.com/mach/science/we-just-beamed-signal-space-aliens-was-bad-idea-ncna822446,114168,38,text/html
https://www.nbcnews.com/mach/science/these-new-gadgets-could-be-game-changers-senior-living-ncna791841,126737,37,text/html
https://www.nbcnews.com/mach/amp/ncna838766,59976,37,text/html
https://www.nbcnews.com/mach/video/five-virtual-reality-apps-for-travel-1066428483515,346225,41,text/html
https://www.nbcnews.com/business/economy/u-s-added-200-000-jobs-january-n843996,70816,81,text/html
https://www.nbcnews.com/business/consumer/has-booming-economy-led-pricier-super-bowl-tickets-year-n844281,78302,83,text/html
https://www.nbcnews.com/business/consumer/bon-ton-stores-files-chapter-11-bankruptcy-protection-n844636,63964,77,text/html
https://www.nbcnews.com/business/consumer/after-mega-hack-equifax-launches-free-lock-alert-service-mixed-n845941,88888,87,text/html
https://www.nbcnews.com/business/consumer/sports-illustrated-swimsuit-issue-goes-metoo-not-everyone-happy-n847566,66036,86,text/html
https://www.nbcnews.com/business/consumer/no-more-lifetime-returns-l-l-bean-gives-its-legendary-n846301,66086,86,text/html
https://www.nbcnews.com/better/video/how-to-winterize-your-car-for-snow-and-cold-weather-1155624003654,223479,41,text/html
https://www.nbcnews.com/business/consumer/target-launches-same-day-delivery-n843441,72510,80,text/html
https://www.nbcnews.com/better/video/why-we-watch-the-super-bowl-1152385603518,229944,41,text/html
https://www.nbcnews.com/better/video/ellen-bennett-of-hadley-and-bennett-made-millions-selling-aprons-1154133059797,181609,41,text/html
https://www.nbcnews.com/business/consumer/why-job-referrals-can-hurt-company-s-diversity-n845106,75778,81,text/html
https://www.nbcnews.com/business/taxes/bigger-paychecks-could-have-bigger-tax-bill-experts-warn-n844156,73216,79,text/html
https://www.nbcnews.com/storyline/airplane-mode/amp/london-city-airport-closed-after-unexploded-wwii-bomb-found-n847051,34678,20,text/html
https://www.nbcnews.com/widget/video-embed/1159389251628,18063,3,text/html
https://www.nbcnews.com/business/travel/london-city-airport-build-remote-digital-air-traffic-control-tower-n761981,76294,89,text/html
https://www.nbcnews.com/nightly-news/video/the-link-between-smartphones-and-kids-mental-health-1115114051567,371584,168,text/html
https://www.nbcnews.com/nightly-news/video/oprah-warns-fans-against-holiday-scam-1122776643876,370837,168,text/html
https://www.nbcnews.com/think/video/tarleton-gillespie-can-moderation-save-youtube-1134763075742,229734,41,text/html
https://www.nbcnews.com/tech/social-media/facebook-says-big-changes-are-coming-your-news-feed-n837026,173041,39,text/html
https://www.nbcnews.com/tech/social-media/screams-gunshots-social-media-changed-what-public-sees-hears-during-n848441,122578,44,text/html
https://www.nbcnews.com/tech/social-media/twitter-bots-are-stealing-social-media-identities-profit-n841951,111073,36,text/html
https://www.nbcnews.com/nightly-news/video/facebook-is-a-living-breathing-crime-scene-says-one-former-tech-insider-1138394691972,373753,168,text/html
https://www.nbcnews.com/tech/social-media/monitoring-fake-news-was-never-priority-says-ex-facebook-worker-n838371,178793,37,text/html
https://www.nbcnews.com/news/us-news/new-york-times-parts-ways-quinn-norton-after-controversial-tweets-n847956,68052,93,text/html
https://www.nbcnews.com/tech/social-media/twitter-responds-calls-suspend-president-trump-s-account-n835146,51519,33,text/html
https://www.nbcnews.com/tech/social-media/now-available-more-200-000-deleted-russian-troll-tweets-n844731,70051,44,text/html
https://www.nbcnews.com/news/us-news/social-media-videos-showed-terror-florida-shooting-left-17-dead-n848176,82333,89,text/html
https://www.nbcnews.com/tech/tech-news/youtube-pares-back-logan-paul-partnership-after-suicide-video-post-n836726,110998,35,text/html
https://www.nbcnews.com/business/consumer/kmart-pay-32-3m-settle-health-care-related-whistleblower-case-n832331,73781,85,text/html
https://www.nbcnews.com/nightly-news/video/amazon-chase-and-berkshire-hathaway-team-up-to-revolutionize-health-care-1149787203796,372752,168,text/html
https://www.nbcnews.com/health/health-news/2-million-kids-will-lose-chip-coverage-right-away-report-n831606,178918,43,text/html
https://www.nbcnews.com/health/health-care/states-take-drug-prices-big-pharma-takes-states-n842886,133767,58,text/html
https://www.nbcnews.com/nightly-news/video/gop-seeks-to-eliminate-obamacare-s-individual-mandate-1116948547861,371329,168,text/html
https://www.nbcnews.com/health/health-care/stay-away-romaine-lettuce-consumer-reports-advises-n834581,178597,41,text/html
https://www.nbcnews.com/video/superstorm-floods-plain-in-western-australia-1150171203541,319288,146,text/html
https://www.nbcnews.com/video/why-hurricanes-are-so-devestating-781432387914,318864,146,text/html
https://www.nbcnews.com/video/powerful-snowstorm-hits-iowa-causing-pileup-on-highway-1155834947955,318782,146,text/html
https://www.nbcnews.com/nightly-news/video/more-than-600-residents-evacuated-in-paris-as-seine-river-rises-1147605571547,371383,168,text/html
https://www.nbcnews.com/nightly-news/video/winter-storm-brings-snow-and-ice-to-the-south-1138428483567,371021,168,text/html
https://www.nbcnews.com/nightly-news/video/desperate-search-for-mudslide-survivors-1135961667593,370732,168,text/html
https://www.nbcnews.com/better/video/how-to-protect-your-car-from-snow-1129468483818,222644,41,text/html
https://www.nbcnews.com/feature/30-seconds-to-know/video/eight-weird-things-that-have-shown-up-on-weather-radar-701377603624,438877,142,text/html
https://www.nbcnews.com/video/bright-meteor-caught-on-cameras-as-it-sweeps-over-michigan-1138723395671,318983,146,text/html
https://www.nbcnews.com/nightly-news/video/snow-and-record-breaking-cold-in-the-south-1139300931517,370685,168,text/html
https://www.nbcnews.com/video/mount-mayon-volcano-in-the-philippines-erupts-with-lava-and-ash-1143521347800,319379,146,text/html
https://www.nbcnews.com/nightly-news/video/winter-weather-turns-deadly-across-u-s-1140239939986,370533,168,text/html
https://www.nbcnews.com/nightly-news/video/heartbreak-in-montecito-s-flood-zone-where-20-were-killed-1137543235672,370318,168,text/html
https://www.nbcnews.com/better/video/how-to-make-an-emergency-go-bag-1037828675619,232734,41,text/html
https://www.nbcnews.com/video/deadly-storm-with-near-90-mph-winds-hits-the-netherlands-1139725379708,319242,146,text/html
https://www.nbcnews.com/video/why-is-it-so-cold-834185795682,318266,146,text/html
https://www.nbcnews.com/video/snow-in-paris-closes-eiffel-tower-but-skiers-enjoy-montmartre-1155616835690,319392,146,text/html
